time_s,left_depth_m,right_depth_m,insertion_depth_m,face_gap_m,offset_y_m,offset_z_m,orientation_error_deg,blades_fit,contact_force_n,other_contact_force_n,left_contact_force_n,right_contact_force_n,contact_count,max_penetration_m,grasp_contact_force_n,grasp_penetration_m,speed_m_s,angular_speed_rad_s,valid_pose,relative_qw,relative_qx,relative_qy,relative_qz,velocity_wx_rad_s,velocity_wy_rad_s,velocity_wz_rad_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,target_travel_m,hold_s,holder_fx_n,holder_fy_n,holder_fz_n,holder_tx_nm,holder_ty_nm,holder_tz_nm
0.34000000000000025,-0.002794999999999763,-0.002794999999999763,-0.002794999999999763,0.018794999999999763,1.4561014095179946e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999976195,7.228014483236697e-17,False,1.0,1.235086974823082e-17,0.0,0.0,-6.641411397618695e-53,7.228014483236697e-17,5.947937355438184e-33,0.009999999999976195,-7.31074337209172e-35,2.8912057932946923e-19,0.0033999999999999456,0.0,5.652422974122828e-14,-1.881456844170179e-35,-1.7347234759768136e-18,1.2109187057983653e-55,-1.4456028966473394e-19,-1.0073529163674797e-35
0.35000000000000026,-0.0026949999999999197,-0.0026949999999999197,-0.0026949999999999197,0.01869499999999992,1.529496973231787e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999989129,7.228014483236697e-17,False,1.0,1.2712270472392666e-17,0.0,0.0,-6.055536874238086e-53,7.228014483236697e-17,5.715457404299886e-33,0.009999999999989129,-7.794529684597797e-35,2.8912057932946923e-19,0.0034999999999999415,0.0,2.3502033652533783e-14,-1.2606408806936562e-35,-1.7347234759768136e-18,1.0842268726792246e-55,-1.4456028966473394e-19,-9.597108043610941e-36
0.36000000000000026,-0.0025949999999999897,-0.0025949999999999897,-0.0025949999999999897,0.01859499999999999,1.55105467809949e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999994857,7.228014483236697e-17,False,1.0,1.3073671196554511e-17,0.0,0.0,-5.850414193269416e-53,7.228014483236697e-17,5.6583701054598345e-33,0.009999999999994857,-8.031791880262452e-35,2.89120579329469e-19,0.0035999999999999375,0.0,1.0755285551056204e-14,-4.716708515384545e-36,-1.7347234759768163e-18,1.0421942993285768e-55,-1.4456028966473394e-19,-9.46836784539259e-36
0.3700000000000003,-0.0024950000000000284,-0.0024950000000000284,-0.0024950000000000284,0.01849500000000003,1.540049803418836e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999997218,7.228014483236697e-17,False,1.0,1.3435071920716356e-17,0.0,0.0,-5.126995664927688e-53,7.228014483236697e-17,4.7826171580804326e-33,0.009999999999997218,-7.747919938537946e-35,2.89120579329469e-19,0.0036999999999999334,0.0,6.5780714209040525e-15,2.674048848054694e-36,-1.7347234759768167e-18,1.024640682339272e-55,-1.4456028966473394e-19,-9.555073191258236e-36
0.3800000000000003,-0.002395000000000067,-0.002395000000000067,-0.002395000000000067,0.018395000000000068,1.558733635289174e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999999029,7.228014483236697e-17,False,1.0,1.3796472644878201e-17,0.0,0.0,-5.25611476122754e-53,7.228014483236697e-17,4.8826789217536616e-33,0.009999999999999029,-7.764300396336713e-35,2.8912057932946894e-19,0.0037999999999999293,0.0,6.0645932720149176e-15,-2.1047031632693085e-36,-1.7347234759768167e-18,1.0561595114156943e-55,-1.4456028966473394e-19,-9.764019030010216e-36
0.3900000000000003,-0.0022950000000000574,-0.0022950000000000574,-0.0022950000000000574,0.018295000000000058,1.5682695745531228e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999999665,7.228014483236697e-17,False,1.0,1.415787336904002e-17,0.0,0.0,-5.205276402841097e-53,7.228014483236697e-17,4.928016187962746e-33,0.009999999999999665,-7.857599175571194e-35,2.891205793294694e-19,0.0038999999999999252,0.0,-2.8033131371785203e-15,8.29738043282508e-37,-1.7347234759768156e-18,1.040877504271932e-55,-1.4456028966473394e-19,-9.849276132508597e-36
0.4000000000000003,-0.002195000000000072,-0.002195000000000072,-0.002195000000000072,0.018195000000000072,1.6120861546574222e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999999586,7.228014483236697e-17,False,1.0,1.4519274093201836e-17,0.0,0.0,-5.773314147445011e-53,7.228014483236697e-17,5.014931114010152e-33,0.009999999999999586,-7.892458244032909e-35,2.8912057932946923e-19,0.003999999999999921,0.0,4.163336342344337e-17,1.3110927274941743e-35,-1.7347234759768156e-18,1.2218700672086955e-55,-1.4456028966473394e-19,-1.1852288735624996e-35
0.4100000000000003,-0.002095000000000069,-0.002095000000000069,-0.002095000000000069,0.01809500000000007,1.6099609689029413e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999999636,7.228014483236697e-17,False,1.0,1.488067481736365e-17,0.0,0.0,-4.0368797212435305e-53,7.228014483236697e-17,4.0370131082017916e-33,0.009999999999999636,-7.752184967766868e-35,2.8912057932946923e-19,0.004099999999999917,0.0,-2.914335439641036e-16,-2.173976805348294e-35,-1.7347234759768167e-18,8.912595016663068e-56,-1.4456028966473394e-19,-8.108936753473026e-36
0.4200000000000003,-0.00199500000000008,-0.00199500000000008,-0.00199500000000008,0.01799500000000008,1.0932249331752752e-36,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999999544,7.228014483236697e-17,False,1.0,1.5242075541525464e-17,0.0,0.0,4.386158557626155e-53,7.228014483236697e-17,-6.347433802116956e-34,0.009999999999999544,-6.116550140706798e-35,2.8912057932946923e-19,0.004199999999999913,0.0,3.191891195797325e-16,5.454492852462016e-35,-1.734723475976815e-18,-7.782484130652507e-56,-1.4456028966473394e-19,-4.764462064126649e-37
0.4300000000000003,-0.0018950000000000806,-0.0018950000000000806,-0.0018950000000000806,0.01789500000000008,4.78604177831313e-37,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00999999999999957,7.228014483236697e-17,False,1.0,1.560347626568728e-17,0.0,0.0,4.578807542805151e-53,7.228014483236697e-17,-1.512910270608478e-34,0.00999999999999957,-3.922239637681426e-35,2.89120579329469e-19,0.004299999999999909,0.0,1.457167719820518e-16,9.245300577277484e-35,-1.7347234759768163e-18,-9.463573689311385e-56,-1.4456028966473394e-19,4.784889456545752e-37
0.44000000000000034,-0.0017950000000000813,-0.0017950000000000813,-0.0017950000000000813,0.01779500000000008,2.9302868163839404e-37,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999999565,7.228014483236697e-17,False,1.0,1.5964876989849093e-17,0.0,0.0,2.100768941139155e-53,7.228014483236697e-17,1.2133075420120545e-33,0.009999999999999565,-2.1612433634461988e-35,2.891205793294692e-19,0.004399999999999905,0.0,-2.123301534595612e-15,4.466206849813091e-35,-1.7347234759768156e-18,-4.365350495331567e-56,-1.4456028966473394e-19,-2.338937615152111e-36
0.45000000000000034,-0.0016950000000000957,-0.0016950000000000957,-0.0016950000000000957,0.017695000000000096,4.46583075979196e-37,0.0,0.0,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.009999999999999586,7.228014483236697e-17,False,1.0,1.6326277714010907e-17,0.0,0.0,-2.1794051640464177e-53,7.228014483236697e-17,3.620736702646549e-33,0.009999999999999586,-2.2781191334105733e-35,2.8912057932946947e-19,0.004499999999999901,0.0,5.551115123125783e-17,8.386932940954873e-36,-1.734723475976814e-18,4.227459503923693e-56,-1.4456028966473394e-19,-7.220765417449732e-36
