offset_y_mm,offset_z_mm,yaw_deg,pitch_deg,push_force_N,success,max_insertion_depth,max_contact_force,final_orientation_deg,final_lateral_error_m,stable
0.0,0.0,0.0,0.0,0.15,True,0.03219468885902169,9.926636320515764,2.4148365394514667e-06,1.0143309319137656e-07,True
0.0,0.0,0.0,2.0,0.15,True,0.03218622465495852,9.805210596836378,2.091309789151873e-06,1.0143292359428985e-07,True
0.0,0.0,0.0,5.0,0.15,True,0.03216355926712047,9.513474985343864,0.0,1.0143306918876382e-07,True
0.0,0.0,0.0,10.0,0.15,True,0.032144953499612924,9.531352630388696,0.0,1.0143307112037842e-07,True
0.0,0.0,2.0,0.0,0.15,True,0.03199870659639812,8.473071719510864,0.10863129597830601,0.0006552271543455137,True
0.0,0.0,5.0,0.0,0.15,False,0.0006338004230897441,3.38624633603727,6.645828389937629,0.0013111381879029574,True
0.0,0.0,10.0,0.0,0.15,False,0.0008189704082260541,5.176239153130449,11.085325435836982,0.0025758385925367462,True
0.0,0.5,0.0,0.0,0.15,True,0.03211178993560905,9.201727042059513,0.0,1.0143311081605572e-07,True
0.0,1.0,0.0,0.0,0.15,True,0.03219414087219369,16.873141548174548,0.0,1.014328115311533e-07,True
0.0,2.0,0.0,0.0,0.15,True,0.032176507611121535,11.944245852857389,1.7075472925031877e-06,1.0143291899293804e-07,True
0.0,3.0,0.0,0.0,0.15,True,0.03214794200368523,9.096268766678039,1.2074182697257333e-06,1.0143288818511432e-07,True
0.5,0.0,0.0,0.0,0.15,True,0.03219468885902169,9.926636320516124,2.4148365394514667e-06,0.0005000000104452301,True
1.0,0.0,0.0,0.0,0.15,False,0.00011515920149980478,3.326048665272515,1.1508827145124245,0.00102234277487938,True
2.0,0.0,0.0,0.0,0.15,False,7.10059551800521e-05,3.3808060752740072,0.8595630045379573,0.002023775486412135,True
3.0,0.0,0.0,0.0,0.15,False,6.39311419096851e-05,3.4419513585495887,0.6234585212663781,0.003019177106058399,True
