offset_y_mm,offset_z_mm,roll_deg,pitch_deg,yaw_deg,success,outcome,max_insertion_depth_m,max_contact_force_n,max_penetration_m,first_contact_offset_y_m,first_contact_offset_z_m,first_contact_orientation_error_deg
-0.25,0.0,0.0,0.0,-1.0,False,jam,2.2340444384705282e-07,1.9280220400445907,3.7728501218213117e-06,-0.00025000000002833845,0.0,1.0000000001014961
-0.25,0.0,0.0,0.0,0.0,True,success,0.016003599677392642,0.31562673494193494,3.599746035770647e-06,-0.00025,0.0,0.0
-0.25,0.0,0.0,0.0,1.0,True,success,0.016000209112373296,0.32767751612175805,7.106623447573149e-06,-0.0002499999999716615,0.0,1.0000000001014961
0.0,0.0,0.0,0.0,-1.0,True,success,0.016000209261917038,0.3278197218391188,7.106623447573236e-06,-2.8338794896270396e-14,0.0,1.0000000001014961
0.0,0.0,0.0,0.0,0.0,True,success,0.01600359970113954,0.3156267505712661,3.5997011395667587e-06,1.0165827257817844e-35,0.0,0.0
0.0,0.0,0.0,0.0,1.0,True,success,0.016000209083755417,0.3276870719838418,7.106623447573202e-06,2.8338794896270396e-14,0.0,1.0000000001014961
0.25,0.0,0.0,0.0,-1.0,True,success,0.01600020928873444,0.3278079462137493,7.106623447573182e-06,0.0002499999999716615,0.0,1.0000000001014961
0.25,0.0,0.0,0.0,0.0,True,success,0.016003599677392642,0.31562673494183147,3.599746035774109e-06,0.00025,0.0,0.0
0.25,0.0,0.0,0.0,1.0,False,jam,2.2340444384705282e-07,1.9280220400445915,3.7728501218212854e-06,0.00025000000002833845,0.0,1.0000000001014961
